sha256,pkg_name,tier,arm,size_bytes,reason,elapsed_s
48C6C919F919B86BACE280FC899C8700D2B20A283E86072EC2BE13622F9C98F9,com.Version1,A,current,138731517,timeout,600.227
038DFEDC8611E3EF4452F3D69AE67CFF992201D09E5881919191AF0D89A2EAB0,com.janabank.mtc,A,current,37289542,timeout,600.039
