sha256	pkg_name	declared_pkg	version_code	version_name	tier	arm	issuer	size_bytes	parse_ok
56033FFCF574BB046EE32800017D474D855ADCA2A5F883827AEB53ADAD43F26C	com.ujjivanbank.mobilebanking	com.ujjivanbank.mobilebanking	83	1.6.7.0	A	current	Ujjivan Small Finance Bank	18719950	True
5A953CAAF9A07F6B2BE4F00A934B7AFD76767C0C664796CD84435AADE36742BC	com.dbs.in.digitalbank	com.dbs.in.digitalbank	4100100	5.4.2	A	current	DBS Bank India	72850168	True
5DEE1024995FF7F84F1C3F4C6AAF43C5FE1A309941B18A943ADD69742078692B	net.one97.paytm	net.one97.paytm	721977	10.82.7	B	current	Paytm	50101177	True
614FDF72E33C1F1CEC38D9903690E3AC8292CB6462D106492DC1B8B1A44BFB5E	com.msf.kbank.mobile	com.msf.kbank.mobile	258	5.7.6	A	current	Kotak Mahindra Bank	38261767	True
630339D0D6B04C8FFC3631102D46B8F643BA89A23E4ABB31A06C754431EAAE7E	com.euronet.merchantapp	com.euronet.merchantapp	23	2.3	C	current	Euronet	7028778	True
65C7EF693989E88AB20264C505F5401831CA74E31B84577E3545906C58FF7BC3	net.one97.paytm	net.one97.paytm	700531	8.4.3	B	era_matched	Paytm	25653698	True
699E801BCAAB35DD7914955363238251DDCF91CF765810E35C881B145614E436	com.canarabank.mobility	com.canarabank.mobility	1065	3.6.82	A	current	Canara Bank	50160582	True
69AB008B9693EFA7416EB16404C0351E4AB30DA4A4F800623120C6549096F745	com.bankofbaroda.mconnect	com.bankofbaroda.mconnect	32	1.3.5	A	era_matched	Bank of Baroda	17583778	True
6EA25AF6D5D31DD39ECB8056CC3135FE9BA71F88E2E9C0E93905DBB972030DA9	com.sbi.lotusintouch	com.sbi.lotusintouch	12212	1.22.12	A	era_matched	State Bank of India	16530653	True
71209700E8791BA25F2CB3A377712D5A1DD5BCE7AD167EB34325C8F91ECE081A	com.YONOUKMobileApp	com.YONOUKMobileApp	32500	3.2.5	D	current	SBI UK	92184476	True
7B1A1348794100FFBABCB6ADCE168E236D720BBD9C5AAED8914C838093EC83AC	com.ubi.parivar	com.ubi.parivar	17	3.0.11	A	current	Union Bank of India	2207025	True
7B899D5785BDB1C81060432C7528B0B417BD6673CA4D58CAC73339F14BF5E1DF	com.mgs.pnbupi	com.mgs.pnbupi	67	1.25	A	current	Punjab National Bank	19174003	True
7D8F408CE979917C425B5E12779A8A37A7057FBDDED8093EA4047096B3EB7C5D	com.pnb.cbdc	com.pnb.cbdc	33	2.2.4	A	current	Punjab National Bank	19443867	True
7EC6888D9728290F4300D804CE2CEC4D62014FD7B5F75687E7B7996710BDCE85	com.db.pbc.mybank.in	com.db.pbc.mybank.in	79	2.1.34	A	current	Deutsche Bank India	39833086	True
7F69A97E633101FA414B2637AE99C3F83199C525E66B718E8D34CFF5FDA88F77	com.canarabank.candimerchant	com.canarabank.candimerchant	15	1.0.12	A	current	Canara Bank	11312403	True
81F5649E1545E77755B1F25867C4106A40796D04CFF1B756FBA03D7586397D4D	com.dbs.sg.dbsmbanking	com.dbs.sg.dbsmbanking	286753	25.8.3	D	current	DBS Singapore	92225050	True
83617D2E048A2FC6EDA82CABF6FFD2B06A5CFEC7B4813AA8D83680C23FB6AF9C	com.capitalfirst.connector	com.capitalfirst.connector	302	2.9.4	A	current	IDFC First Bank	28310975	True
847B564EBC390C51F7F6E5A0991F79F25087E37542239F4DBBE72F88A3A750A2	com.corporatefedmobile	com.corporatefedmobile	261	3.0.2	A	current	Federal Bank	61912505	True
85D9D64616DA01E2BE7219E141620F453B97DA25AA23AF7D80F01532BBB9A395	com.shivalik.mb	com.shivalik.mb	23	1.0.16	A	current	Shivalik Small Finance Bank	16488179	True
87427F2D8F409A3421B698248F65724ECA54FBC36BF0A365521BEB42760A314D	indwin.c3.shareapp	indwin.c3.shareapp	1040	18.0.0	C	current	CRED	131785708	True
8F71C10F2D2FA4A9E571B9E50871BE36FDF24417A859FDFA0C5B431EB0CFD157	com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge	com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge	515	5.1.5	A	current	Kotak Mahindra Bank	93645172	True
920B536DFC3BBF6CDAC9B8937ECA22E4B0B5193F2B1D4D3F06913E4C0E3C6DE7	com.lcode.ucoupi	com.lcode.ucoupi	58	1.5.6	A	current	UCO Bank	81948489	True
93DC69A8036AA1FAEB1F46E112048BBC4258A3856ADF571AB45CCEB81529CC95	com.kotak.bank.mobile	com.kotak.bank.mobile	457	1.54	A	current	Kotak Mahindra Bank	86966752	True
95E694A347F63727D269100BC229ED013B19C61CC8CF71FB2894C595869A29DD	indwin.c3.shareapp	indwin.c3.shareapp	270	5.0.6.0	C	era_matched	CRED	12405182	True
95F493C900733482B2A53B9A6E04743B3A0D4E9527EFE4109E72BA10ED28E620	com.csam.icici.bank.imobile	com.csam.icici.bank.imobile	448	27.0	A	current	ICICI Bank	251417501	True
9CF57AFFDDB046732A4C2202DEFE70C04AC1AC5E7EBBD70E3CAD060E9EC16ADC	com.Version1	com.Version1	34	1.23	A	era_matched	Punjab National Bank	37741160	True
9EAE3D15663E74B6667248D177C24D3C0B555102A24411DB3074DE8556DB5261	com.naviapp	com.naviapp	262	2.8.4	C	current	Navi	30262998	True
9FD9D3EB4F8285696203A7DB6E34BD5E7CECE4D0C5170743D24B86A51B949319	in.hsbc.hsbcindia	in.hsbc.hsbcindia	109866	3.63.0	A	current	HSBC India	251074244	True
A747B6611A2DC777C242DEA4C38EEDE69FE8FDC43ADB5E02902E7F8F66D7651D	com.lcode.ucoupi	com.lcode.ucoupi	21	1.1.9	A	era_matched	UCO Bank	8533247	True
A985DF31B5FB7A93A543A28CA265BBE2BCE5D1CCCC697BB84268DDF6BDDC7811	com.axis.mobile	com.axis.mobile	183	11.01	A	current	Axis Bank	89592179	True
AB8C07E49597F2777D8462487D7A261226C19A97ACF8159E33286AFE19D91298	com.utkarsh.mobile	com.utkarsh.mobile	330035	10.0	A	current	Utkarsh Small Finance Bank	63517770	True
ADB8E6D1580BED91DA8506AA787F859EFB19849C699132C353270CB7FA9633F7	com.infrasoft.uboi	com.infrasoft.uboi	1016	5.5.0	A	era_matched	Union Bank of India	23146054	True
B5EC2A58741C096650D4351987C36C4DF26E0D5F32D7A93B14AB12DC2B9E984D	com.fedmobile	com.fedmobile	85400363	7.2.0	A	current	Federal Bank	104521739	True
B60EECAD6D5877F1C89A67834E71148F737DA38618F021B9E6FBB9C96D0B6131	ae.hsbc.hsbcuae	ae.hsbc.hsbcuae	109874	3.63.5	D	current	HSBC UAE	282514954	True
B7D14AE05406AFE44D70EE402862CB547C9580D620D87817B51DEAF354CF8806	com.indianbank.creditcard	com.indianbank.creditcard	82	1.1.31	A	current	Indian Bank	17234201	True
BB8C05F2D441519AD70C04E76457AC26B8057DD5B18290F934A950B85702BD04	com.infrasofttech.CentralBank	com.infrasofttech.CentralBank	1180	7.56	A	current	Central Bank of India	56431007	True
BB9B2349D8614A3AAAA47ABE5B5E26CC4836AFB90F44554B9865700C34C4311B	com.db.pbc.mibanco	com.db.pbc.mibanco	224	3.0.224	D	current	Deutsche Bank Spain	142101232	True
C004F467EE8603A389E7D334ECBDA561546BED87D1AED6D2145B81C79A2045CC	com.sc.privatebank.pvm	com.sc.privatebank.pvm	100189	10.0.9	D	era_matched	Standard Chartered Private Bank	28997155	True
C32100528109815CD81DE0727E6B88F45BE3275A44FE8D17C878CAA62868BA4B	org.npci.erupeeINDIAN	org.npci.erupeeINDIAN	24	0.0.7	B	current	NPCI	34436798	True
C7D431AF86A32E21A7EAF8D71CB80A223040DF1F91D3E346B382E0FBA61F487C	com.msf.kbank.mobile	com.msf.kbank.mobile	106	5.1.4	A	era_matched	Kotak Mahindra Bank	13788233	True
CB4CB8EB77ED41D0BFC5C7F3225612FAF7D80D7FDF79553DB0ECB179D241CC1F	com.lcode.ucomobilebanking	com.lcode.ucomobilebanking	96	2.0.95	A	current	UCO Bank	142684721	True
CB5E93002B4D42BC0DC00D1D6C9F7BA302ED8C8FEB505CF675FFDE7BED1C1ACD	com.esaf.mobileBanking	com.esaf.mobileBanking	30006	3.0.6	A	current	ESAF Small Finance Bank	14452295	True
CE48F88D4EFAA5342F383AF09D683D08819E664CFD108AC9777F39BD7DEDABB8	com.icicibank.ibizz	com.icicibank.ibizz	260	12.4	A	current	ICICI Bank	168199123	True
D220B4F96C9FD3140B4E5628F33E13184E513BAC992372B7859E2ED1C1CA769D	com.lcode.clabmbanking	com.lcode.clabmbanking	25	2.6	A	current	Capital Small Finance Bank	16874981	True
D53D37482B2D729F46D6F41A86468C8E7C6231DBF5B60B6CDD9567728599B316	com.iob.iobconnect	com.iob.iobconnect	24	1.0.24	A	current	Indian Overseas Bank	35147643	True
D557536F3CFA7141B695C6AB9D8764DF9E82A0C03335A2CF578F3561288DE543	com.sbi.upi	com.sbi.upi	98	2.3.11	A	current	State Bank of India	59234299	True
D61E6C7B3D1AB862ABE0320C20B1EDD0611C4E2B6A8027730C7835CDE6A43F59	com.indusindbank.IndusDirect	com.indusindbank.IndusDirect	5200	5.2.4	A	current	IndusInd Bank	124685834	True
D863BA44F48F43413BBAAE89E580F31CE75C34212127A99F7F7E4E276AE2F697	com.infra.aryavartupi	com.infra.aryavartupi	49	1.0.0	A	current	Aryavart Bank	6145512	True
DBEFC318762090F33D91426DA9FC87CBBB224B7309086F915E89959A8FE4830F	com.bankofbaroda.mconnect	com.bankofbaroda.mconnect	117	3.8.8	A	current	Bank of Baroda	96948568	True
DE6EAD37179472D112BA31FF0E242934C1E93DEC01D16C237A25AC19C7BDBA6F	org.npci.erupeeFEDERAL	org.npci.erupeeFEDERAL	14	0.0.13	B	current	NPCI	38895592	True
DF3D7D319A6DADC9490D1340A8D681AEE6FA9F568FEFDC1D4341F070B7CA4E35	com.icicibank.ibizz	com.icicibank.ibizz	75	3.5	A	era_matched	ICICI Bank	31060313	True
DF5A892C682521452E89655DF6F5271D67B879FEFCB4A9FB910AC58567561732	com.google.android.apps.nbu.paisa.user	com.google.android.apps.nbu.paisa.user	3509638	297.1.1 (arm64-v8a_release_flutter)	B	current	Google	19179130	True
DF5F1947B069500DD0CA5033798C04375913B35082A31959B5722C26BA895E8A	in.irisbyyes.app	in.irisbyyes.app	2009004207	4.2.0	A	current	Yes Bank	74689062	True
E4323D923956C467D19D3D859EC6B3F2517BD15FF28F712D9076BE39E48004F6	com.canarabank.mobility	com.canarabank.mobility	44	1.4.6	A	era_matched	Canara Bank	24185264	True
E458C9E904B3431538BFEE18D1DAE8B5C19E86367197DE84C34544568A80F73D	com.indusindbank.IndusDirect	com.indusindbank.IndusDirect	7	2.0.1	A	era_matched	IndusInd Bank	16230135	True
E4F6E053B0B5A8277F12DB2231039F6114EC6740CF5F9F4C3D5AA8BF00C16AC9	com.ausmallfinancebank.amb	com.ausmallfinancebank.amb	2109260	21.9.168	A	current	AU Small Finance Bank	80228506	True
E56542C61E15E196AEBE03F367B9E46D4BBCB497E9720FB4ED376BDD96B35E00	bm.com.hsbc.hsbcbermuda	bm.com.hsbc.hsbcbermuda	109866	3.63.0	D	current	HSBC Bermuda	125053455	True
EDD4D121F98F30F74236B6393568818162A94E00833566AFCD0CFFAFE9542EDC	com.dbs.sg.dbsmbanking	com.dbs.sg.dbsmbanking	35110	3.5.0.110	D	era_matched	DBS Singapore	53812260	True
F01ECF18B6A3D1AE86CC888D64E49627D39AD97F4308CD5767814136D6C8D834	com.bankofbaroda.upi	com.bankofbaroda.upi	148	6.1.71	A	current	Bank of Baroda	132077063	True
F29F594442566E7F3BA9B7493766CA7768E005E3A3628E79474868A9FEC064CE	com.dbs.in.digitalbank	com.dbs.in.digitalbank	3921214	4.0.4	A	era_matched	DBS Bank India	29985764	True
F66039981FC3719D7E351C97F0A954C5AF728F0B731E549DCB34DD49BA48C6AE	com.axis.mobile	com.axis.mobile	43	5.9	A	era_matched	Axis Bank	33763849	True
F66D2D7CEBB9E471CC31A6E58817A6A920B0009C0BFB1AF5E49C51251DD2A298	air.app.scb.breeze.android.main.in.prod	air.app.scb.breeze.android.main.in.prod	105695134	8.39.14	A	current	Standard Chartered India	96393614	True
FD7015A382FFD008161B0DFE6A73DFE50AEE3913512CE7AEB3AD2F8B20F3186C	com.sc.breezeje.banking	com.sc.breezeje.banking	9619091	3.14.0	D	current	Standard Chartered Jersey	14611265	True
FD9A5EF34EC7A6ACA78392F1628029F1C93F4766E9B69ADAA362EE076412AA39	com.euronet.iobupi	com.euronet.iobupi	30600	2.17	A	current	Indian Overseas Bank	24896356	True
